num,name,smiles
1,Mn(CF3PDP),Clc(cc1)ccc1-c1nnnn1C1CCCC1
2,Mn(CF3PDP),C(CC1)CC1c1nocc1
3,Mn(CF3PDP),C(C1CCCC1)N1CCCCC1
4,Mn(CF3PDP),C(CC1)CCC1N1CCOCC1
5,Mn(CF3PDP),O=S1(CCN(CC2CCCC2)CC1)=O
6,Mn(CF3PDP),C(CC1)CCC1c1cccnn1
7,Mn(CF3PDP),CCCCCN1CCOCC1
8,Mn(CF3PDP),C(CC1)CCC1c1ccncc1
9,Mn(CF3PDP),C(C1CCCC1)n1ncnc1
10,Mn(CF3PDP),C(CC1)CCC1c1ncccn1
11,Mn(CF3PDP),O=C(C(F)(F)F)N1CCN(CC2CCCC2)CC1
12,Mn(CF3PDP),C(C1CCCC1)n1nncc1
13,Mn(CF3PDP),CC1N(CC2CCCC2)CCOC1c1cccc(F)c1
14,Mn(CF3PDP),COC(c1cc(-c2ccc(C3CCCCC3)cc2)nc2ccccc12)=O
15,Mn(CF3PDP),CNC([C@H]1N(CC2CCCC2)CCCC1)=O
16,Mn(CF3PDP),CC1(C)OB(c2cn(C(CC#N)C3CCCC3)nc2)OC1(C)C
17,Mn(CF3PDP),CCCC(Cn1ncnc1)c(ccc(Cl)c1)c1Cl
18,Mn(CF3PDP),O=C(CC1(CCCC1)C1)N(CCCCBr)C1=O
19,Mn(CF3PDP),Fc(cc1)ccc1-c1cc(Cl)nc2c1CCCCCC2
20,Mn(CF3PDP),O=C(CCc1nnnn1C1CCCC1)c1ccccc1
21,Mn(CF3PDP),N#CC(C(N1C2CCCC2)=O)=NN(c2cccc(C(F)(F)F)c2)C1=O
22,Mn(CF3PDP),CCOC(c(cc1)cc2c1n(C1CCCCC1)c(-c1ncccc1)n2)=O
23,Mn(CF3PDP),NS(c(cc1)ccc1-n1nc(C(F)(F)F)cc1C1CCCC1)(=O)=O
24,Mn(CF3PDP),CS(c(cc1)ccc1-c1c(-c(cc2)ccc2F)nc(CC2CCCCC2)nc1)(=O)=O
25,Mn(CF3PDP),Cc(onc1C2CCCC2)c1-c(cc1)ccc1S(N)(=O)=O
26,Mn(CF3PDP),N#CCC(C1CCCC1)n1ncc(Br)c1
27,Mn(CF3PDP),Fc(cc1)cc2c1c(C1CCN(CC3CCCC3)CC1)no2
28,Mn(CF3PDP),C(C1CCCC1)N1CCCC1
29,Mn(CF3PDP),C(C1CCCC1)N1CCCCCC1
30,Mn(CF3PDP),C(C1CCCC1)n1cncc1
31,Mn(CF3PDP),FC(c1cc(CN2CCCCCC2)ccc1)(F)F
32,Mn(CF3PDP),CN(CC1)[C@@H](C2)[C@@H](CCCC3)[C@@]13c1c2ccc(OS(C(F)(F)F)(=O)=O)c1
33,Mn(CF3PDP),CC(C)([C@H](C(OCC1CCCC1)=O)N([C@H]1C2)C2=O)S1(=O)=O
34,Mn(CF3PDP),Fc1cc2c(C3CCCCC3)ccnc2cc1
35,Mn(CF3PDP),O=C(c1c2cccc1)N(C1CCCCCC1)C2=O
36,Mn(CF3PDP),Clc(cc1)ccc1-c1nnc(C2CCCCC2)cc1
37,Mn(CF3PDP),[O-][N+](c(cc1)cc(C(N2CC3(CCCC3)c(cc3)ccc3Br)=O)c1C2=O)=O
38,Mn(CF3PDP),O=C(C1(CCCC1)c1c2ccc(Br)c1)N2S(c1ccccc1)(=O)=O
39,Mn(CF3PDP),CCCCC(c(cc(cc1)Br)c1N1S(c2ccccc2)(=O)=O)(C1=O)OC(C)=O
40,Mn(CF3PDP),O=C(c1c2cccc1)N(CC1(CCC1)c(cc1)ccc1Br)C2=O
41,Mn(CF3PDP),CCCCCN(CC1)CCC1(c(cc1)ccc1Cl)C#N
42,Mn(CF3PDP),N#CC1(CCN(CC2CCCC2)CC1)c(cc1)ccc1Cl
43,Mn(CF3PDP),CCC1CCN(Cc(cc2)ccc2Cl)CC1
44,Mn(CF3PDP),O=C(CCCN1CCC2(CCCC2)CC1)c(cc1)ccc1F
45,Mn(CF3PDP),CCCCC(c(cc1)cc(F)c1F)c1cnccc1
46,Mn(CF3PDP),CCCCCc1nccc(-c(cc2)ccc2Cl)c1
47,Mn(CF3PDP),CCCCCCn1c(-c(cc2)ccc2Br)cnc1
48,Mn(CF3PDP),C(C1CCCC1)n1c(cccc2)c2nc1
49,Mn(CF3PDP),CCCCCc1ccnc2ccccc12
50,Mn(CF3PDP),COC([C@H](c(cc1)ccc1Cl)NC(C1(CCCC1)N(C(c1c2cccc1)=O)C2=O)=O)=O
51,Mn(CF3PDP),CCCCCC(N(c(cc1)c([C@](C(F)(F)F)(C#CC2CC2)O2)cc1Cl)C2=O)=O
52,Mn(CF3PDP),CCCCC(c(cc1)ccc1Cl)N(CC[C@@H](CC(OC)=O)C1)[C@@H]1c1ccc(C(F)(F)F)cc1
53,Mn(CF3PDP),CC(OC1CC(CC2)N(CC3CCCC3)C2C1)=O
54,Mn(CF3PDP),CS(c(cc1)ccc1-c1nc(CC2CCCCC2)ncc1-c(cc1)ccc1F)(=O)=O
55,Fe(CF3PDP),CCCCC(CCN1C)C1=O
56,Fe(CF3PDP),CCCCCN(CCC1)C1=O
57,Fe(CF3PDP),CCCCCN(CCCC1)C1=O
58,Fe(CF3PDP),CN(CCC1C2CCCC2)C1=O
59,Fe(CF3PDP),CN(CCCC1C2CCCC2)C1=O
60,Fe(CF3PDP),CCCCCN(CCCCC1)C1=O
61,Fe(CF3PDP),CCCCCN(CCCCCC1)C1=O
62,Fe(CF3PDP),CCCCCC(N1CCCC1)=O
63,Fe(CF3PDP),O=C(CC1CCCC1)N1CCCC1
64,Fe(CF3PDP),O=C1N(CCC[C@@H]2CCC3)[C@H]2[C@H]3CC1
65,Fe(CF3PDP),CC1(C)[C@@H](C[C@]2(C)N3CC4CCCC4)[C@H]1C[C@H]2C3=O
66,Fe(CF3PDP),CC(C)([C@H](C1)C[C@H]23)[C@@H]1[C@@]3(C)N(CC1CCCC1)C2=O
67,Fe(CF3PDP),O=C1OCCN1CC1CCCC1
68,Fe(CF3PDP),CCCCCN(C=CC=C1)C1=O
69,Fe(CF3PDP),CCCCCN(C)C(CCCN(C([C@H]1[C@@H]2[C@H]3O[C@@H]1CC3)=O)C2=O)=O
70,Fe(CF3PDP),CCCCCN(C(CCCN(C([C@H]1[C@@H]2[C@H]3O[C@@H]1CC3)=O)C2=O)=O)S(c(cc1)ccc1[N+]([O-])=O)(=O)=O
71,Fe(CF3PDP),CCCCC(CCN1S(c(cc2)ccc2[N+]([O-])=O)(=O)=O)C1=O
72,Fe(CF3PDP),CC(C)(C)NC([C@@H](CC1)[C@@](C)(CC2)[C@@H]1[C@H](CC1)[C@H]2[C@@](C)(CC2)[C@@H]1N(C)C2=O)=O
73,Fe(CF3PDP),CN(CCCCC1C2CCCC2)C1=O
74,Fe(CF3PDP),CCCCCC1CCN(C)CC1
75,Fe(CF3PDP),CCCCCc1ccncc1
76,Fe(CF3PDP),CCCCCN(CC1)CCC1(c1ccc(C(F)(F)F)cc1)C#N
77,Fe(CF3PDP),CCCCC1(CCN(C)CC1)C(OCC)=O
78,Fe(CF3PDP),CCCCC1(CCNCC1)C(OCC)=O
79,Fe(CF3PDP),CCCCc1ccncc1
80,Fe(CF3PDP),C(CC1)CCC1c1cccnc1
81,Fe(CF3PDP),O=C(CC1(CCCC1)C1)NC1=O
82,Fe(CF3PDP),C[C@](CC1)([C@@H](CC2)[C@H](CC3)[C@H]1[C@@](C)(CC1)[C@@H]3C[C@@H]1OC(C)=O)[C@H]2c1cnccc1
83,Fe(CF3PDP),CN(CC1)[C@@H](C2)[C@@H](CCCC3)[C@@]13c1c2ccc(OS(C(F)(F)F)(=O)=O)c1
84,cis-[LnRu(II)CO3],CCCCCN(C(c1c2cccc1)=O)C2=O
85,cis-[LnRu(II)CO3],CCCCCN(C(c(c1c(c(Cl)c2Cl)Cl)c2Cl)=O)C1=O
86,cis-[LnRu(II)CO3],CCCC[C@@H](C(OC)=O)N(C(c1c2cccc1)=O)C2=O
87,cis-[LnRu(II)CO3],COC(C1(CCCCC1)N(C(c(c1c(c(Cl)c2Cl)Cl)c2Cl)=O)C1=O)=O
88,cis-[LnRu(II)CO3],CCCCC(CCCCN(C(c1c2cccc1)=O)C2=O)(C(OCC)=O)C(OCC)=O
89,cis-[LnRu(II)CO3],CCCCC(C)c1ncccc1
90,cis-[LnRu(II)CO3],CCCCCCN(CC1)CCC1C(OCC)=O
91,cis-[LnRu(II)CO3],CCCCCn1cncc1
92,cis-[LnRu(II)CO3],CCCCCCN(CC1)CCN1C(C)=O
93,cis-[LnRu(II)CO3],CCCCCCN(CCC1)[C@H]1c1ncccc1
94,NaDT,COC([C@H]1NCCC1)=O
95,NaDT,COC([C@H]1NCCCC1)=O
96,Electrochemical,O=C(c1c2cccc1)N(C1CCCCCC1)C2=O
97,Electrochemical,CCCCCc1ccncc1
98,Electrochemical,CCCC(Cn1ncnc1)c(ccc(Cl)c1)c1Cl
99,Electrochemical,O=C(CC1(CCCC1)C1)N(CCCCBr)C1=O
100,Other Mn/Fe PDP,O=C(c1c2cccc1)N(C1CCCCC1)C2=O
101,Other Mn/Fe PDP,O=C(c(c1c(c(F)c2F)F)c2F)N(C2CCCCC2)C1=O
102,Other Mn/Fe PDP,CCCCCOC(NC(C(F)=CN1[C@H]([C@H]2O)O[C@@H](C)[C@@H]2O)=NC1=O)=O
103,ChemBL,CCCCCCCCCCCCCCCCCCOP([O-])(OC1CC[N+](C)(C)CC1)=O
104,ChemBL,CCCCCCCCCCC[C@@H](C[C@@H]([C@@H]1CCCCCC)OC1=O)OC([C@H](CC(C)C)NC=O)=O
105,ChemBL,CCCCN(C[C@@H]([C@H]1OC(CCC)=O)OC(CCC)=O)[C@H](COC(CCC)=O)[C@H]1OC(CCC)=O
106,ChemBL,CC(C)(CNC(C[C@H](CC1)CC[C@]11OO[C@]2(C3CC(C4)CC2CC4C3)O1)=O)N
107,ChemBL,C[C@](C[C@@H]1O)([C@@H](CC2)[C@H](CC3)[C@H]1[C@@](C)(C=C1)C3=CC1=O)[C@]2(C(CN1CCN(C)CC1)=O)O
